genome_ID,assembly_accession,organism_name,superkingdom,phylum,class,order,family,genus,genome_size,proteins,completeness,contamination,nif_type,oxygen_discrete,oxygen_numeric,temperature,temp_discrete,pH,pH_discrete,habitat,habitat_richness,metabolic_richness,gene_number,gene_complexity,root_distance
G000011905,GCF_000011905.1,Dehalococcoides mccartyi 195,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,1.46972,1543,99.01,0,nif,anaerobe,2,27.5,Mesophile,7,Neutrophile,Freshwater,0.02,0.103092784,20,0.215053763,0.923352228
G000955735,GCF_000955735.1,Thermoanaerobacter cellulolyticus NA10,Bacteria,Firmicutes,Clostridia,Clostridiales,0,0,2.514985,2528,96.01,2.63,nif,anaerobe,2,65,Thermophile,5.7,Neutrophile,Hydrothermal,0,0.12371134,17,0.182795699,0.709889929
G000955745,GCF_000955745.1,Caldicellulosiruptor sp. Rt8.B8,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,2.488483,2363,95.07,1.11,nif,anaerobe,2,65,Thermophile,6.1,Neutrophile,Hydrothermal,0,0.118556701,17,0.182795699,0.697064215
G000024625,GCF_000024625.1,Methanocaldococcus vulcanius M7,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,1.761737,1761,99.52,0,nif,anaerobe,2,75.9,Thermophile,6.5,Neutrophile,Hydrothermal,0,0.180412371,16,0.172043011,0.758417057
G000214415,GCF_000214415.1,Methanotorris igneus Kol 5,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris,1.854197,1822,99.52,0,nif,anaerobe,2,80.7,Thermophile,6.7,Neutrophile,Hydrothermal,0,0.18556701,16,0.172043011,0.710137486
G000016545,GCF_000016545.1,Caldicellulosiruptor saccharolyticus DSM 8903,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,2.970275,2872,99.5,0,nif,anaerobe,2,64.3,Thermophile,5.6,Neutrophile,Hydrothermal,0,0.134020619,18,0.193548387,0.699225774
G000955725,GCF_000955725.1,Caldicellulosiruptor sp. Wai35.B1,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,2.834482,2710,99.52,0,nif,anaerobe,2,64.6,Thermophile,5.9,Neutrophile,Hydrothermal,0,0.128865979,18,0.193548387,0.700629799
G000243455,GCF_000243455.1,Methanotorris formicicus Mc-S-70,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris,1.818783,2045,99.52,0,nif,anaerobe,2,78.3,Thermophile,6.2,Neutrophile,Hydrothermal,0,0.180412371,17,0.182795699,0.708828688
G000376965,GCF_000376965.1,Methanothermococcus thermolithotrophicus DSM 2095,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,1.68693,1704,100,0,nif,anaerobe,2,62.5,Thermophile,6.8,Neutrophile,Hydrothermal,0,0.175257732,17,0.182795699,0.805110745
G000166355,GCF_000166355.1,Caldicellulosiruptor hydrothermalis 108,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,2.770676,2640,99.52,0,nif,anaerobe,2,65,Thermophile,7,Neutrophile,Hydrothermal,0,0.139175258,18,0.193548387,0.703107092
G000193435,GCF_000193435.2,Caldicellulosiruptor lactoaceticus 6A,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,2.674809,2594,98.96,0,nif,anaerobe,2,66.9,Thermophile,5.6,Neutrophile,Hydrothermal,0,0.128865979,19,0.204301075,0.717291657
G000685155,GCF_000685155.1,Candidatus Methanoperedens nitroreducens,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Candidatus Methanoperedenaceae,Candidatus Methanoperedens,3.203386,3432,99.67,1.31,nif,anaerobe,2,49.7,Thermophile,6.6,Neutrophile,Terrestrial,0.05,0.195876289,19,0.204301075,0.752087649
G000513315,GCF_000513315.1,Methanobrevibacter arboriphilus ANOR1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,2.22192,2004,99.2,0,nif,anaerobe,2,31.4,Mesophile,7.1,Neutrophile,Host-associated,0.09,0.180412371,20,0.215053763,0.874318051
G000166695,GCF_000166695.1,Caldicellulosiruptor kristjanssonii I77R1B,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,2.802443,2691,100,0,nif,anaerobe,2,66.2,Thermophile,5.7,Neutrophile,Hydrothermal,0,0.118556701,20,0.215053763,0.704888483
G000404025,GCF_000404025.1,Caldicellulosiruptor sp. F32,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,2.378643,2431,98.67,0.48,nif,anaerobe,2,64.8,Thermophile,6,Neutrophile,Terrestrial,0,0.12371134,20,0.215053763,0.695270765
G002002665,GCF_002002665.1,Leptospirillum ferriphilum,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,2.340676,2361,93.02,1.88,nif,aerobe,1,37.75,Mesophile,1.7,Acidophile,Terrestrial,0.01,0.170103093,23,0.247311828,0.793514725
G000695975,GCF_000695975.1,Leptospirillum ferriphilum YSK,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,2.330585,2236,93.23,1.82,nif,aerobe,1,36.1,Mesophile,6.1,Neutrophile,Hydrothermal,0.01,0.175257732,23,0.247311828,0.794120938
G001750905,GCA_001750905.1,Desulfobacterales bacterium C00003104,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfobacterales,0,0,2.149125,2130,90.08,0,nif,anaerobe,2,38.6,Mesophile,6.2,Neutrophile,Saline,NA,0.190721649,21,0.225806452,0.767152179
G000309865,GCA_000309865.1,Methanobacterium sp. Maddingley MBC34,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,2.420154,2414,96.53,0.06,nif,anaerobe,2,33.6,Mesophile,6.4,Neutrophile,Terrestrial,0.11,0.175257732,20,0.215053763,0.90854893
G000427425,GCF_000427425.1,Caldanaerobius polysaccharolyticus DSM 13641,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobius,2.499862,2490,99.52,0,nif,anaerobe,2,61.4,Thermophile,6.6,Neutrophile,Terrestrial,0,0.149484536,24,0.258064516,0.603419646
G000220645,GCF_000220645.1,Methanococcus maripaludis X1,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,1.746697,1869,99.5,0,nif,anaerobe,2,52.5,Thermophile,6.8,Neutrophile,Hydrothermal,0,0.170103093,20,0.215053763,0.938136893
G000429345,GCF_000429345.1,Desulfovirgula thermocuniculi DSM 16036,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Desulfovirgula,3.060447,3276,100,1.27,nif,anaerobe,2,70.5,Thermophile,7,Neutrophile,Hydrothermal,0,0.18556701,20,0.215053763,0.70353571
G001280545,GCF_001280545.1,Leptospirillum ferriphilum,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,2.475669,2453,90.42,2.73,nif,aerobe,1,37.75,Mesophile,1.7,Acidophile,Terrestrial,0.01,0.175257732,24,0.258064516,0.796756197
G000204415,GCF_000204415.1,Methanosaeta concilii GP6,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,3.026645,3049,99.35,0.65,nif,anaerobe,2,35.9,Mesophile,5.5,Acidophile,Terrestrial,0.14,0.180412371,21,0.225806452,0.81900164
G000018425,GCF_000018425.1,Candidatus Desulforudis audaxviator MP104C,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Candidatus Desulforudis,2.349476,2301,98.09,0.32,nif,anaerobe,2,49.2,Thermophile,6.1,Neutrophile,Freshwater,0.01,0.180412371,21,0.225806452,0.678683429
G000251105,GCF_000251105.1,Methanocella conradii HZ254,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,2.378438,2514,100,0,nif,anaerobe,2,48.7,Thermophile,6.4,Neutrophile,Terrestrial,0,0.180412371,22,0.23655914,0.750934042
G000147875,GCF_000147875.1,Methanolacinia petrolearia DSM 11571,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,2.84329,2821,99.67,1.31,nif,anaerobe,2,38.6,Mesophile,6.5,Neutrophile,Saline,0.07,0.170103093,23,0.247311828,0.877514122
G000020985,GCF_000020985.1,Thermodesulfovibrio yellowstonii DSM 11347,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Thermodesulfovibrio,2.003803,2007,99.08,3.67,nif,anaerobe,2,56.7,Thermophile,6.6,Neutrophile,Hydrothermal,0.01,0.159793814,21,0.225806452,0.77376821
G000744455,GCF_000744455.1,Methanobacterium sp. SMA-27,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,2.490725,2622,98.4,0.8,nif,anaerobe,2,37.7,Mesophile,6.8,Neutrophile,Terrestrial,0.11,0.170103093,20,0.215053763,0.887927322
G000421965,GCF_000421965.1,[Clostridium] papyrosolvens C7,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,4.400934,3973,100,0,nif,anaerobe,2,36.8,Mesophile,7.2,Neutrophile,Host-associated,0.15,0.128865979,24,0.258064516,0.825377806
G000175795,GCF_000175795.2,[Clostridium] papyrosolvens DSM 2782,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,4.915287,4275,99.32,1.35,nif,anaerobe,2,36.4,Mesophile,7.3,Neutrophile,Saline,0.15,0.128865979,24,0.258064516,0.836056394
G000017165,GCF_000017165.1,Methanococcus vannielii SB,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,1.720048,1746,99.5,0,nif,anaerobe,2,53.1,Thermophile,6.1,Neutrophile,Saline,0,0.170103093,22,0.23655914,0.969288387
G000217795,GCF_000217795.1,Thermodesulfatator indicus DSM 15286,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,2.322224,2246,99.04,0,nif,anaerobe,2,70,Thermophile,6.3,Neutrophile,Hydrothermal,0,0.154639175,22,0.23655914,0.754100068
G000008645,GCF_000008645.1,Methanothermobacter thermautotrophicus str. Delta H,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,1.751377,1876,100,0.31,nif,anaerobe,2,55.9,Thermophile,6.4,Neutrophile,Freshwater,0.03,0.170103093,22,0.23655914,0.807327023
G000145295,GCF_000145295.1,Methanothermobacter marburgensis str. Marburg,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,1.639135,1750,100,0,nif,anaerobe,2,59.1,Thermophile,6.5,Neutrophile,Freshwater,0.03,0.170103093,22,0.23655914,0.803265433
G000421585,GCF_000421585.1,Thermodesulfatator atlanticus DSM 21156,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,2.302285,2251,99.45,0.82,nif,anaerobe,2,67.5,Thermophile,7,Neutrophile,Hydrothermal,0,0.154639175,22,0.23655914,0.76103826
G000063445,GCF_000063445.1,Methanocella arvoryzae MRE50,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,3.179916,3117,100,0,nif,anaerobe,2,45,Thermophile,7,Neutrophile,Terrestrial,0.02,0.18556701,23,0.247311828,0.745292014
G001652585,GCF_001652585.1,Thermosulfurimonas dismutans,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermosulfurimonas,2.119932,2135,98.77,1.65,nif,anaerobe,2,74,Thermophile,7,Neutrophile,Hydrothermal,0.02,0.159793814,22,0.23655914,0.771885873
G000784355,GCF_000784355.1,Methanolacinia paynteri,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,2.791704,2774,98.37,0.65,nif,anaerobe,2,38,Mesophile,7,Neutrophile,Saline,0.06,0.170103093,24,0.258064516,0.857111659
G000499765,GCF_000499765.1,Methanobacterium sp. MB1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,2.029766,2022,98.13,0,nif,anaerobe,2,39.2,Mesophile,7.1,Neutrophile,Terrestrial,0.12,0.164948454,21,0.225806452,0.913217987
G001458655,GCF_001458655.1,Methanobacterium formicicum,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,2.49451,2417,99.2,0,nif,anaerobe,2,39,Mesophile,7.2,Neutrophile,Host-associated,0.12,0.170103093,21,0.225806452,0.886955898
G001509375,GCA_001509375.1,Methanosaeta harundinacea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,2.382964,2469,100,0,nif,anaerobe,2,35.5,Mesophile,7.4,Neutrophile,Terrestrial,0.09,0.175257732,22,0.23655914,0.787324681
G001509005,GCA_001509005.1,Methanobacterium sp. 42_16,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,2.173293,2269,97.6,0,nif,anaerobe,2,33.6,Mesophile,6.5,Neutrophile,Terrestrial,NA,0.170103093,22,0.23655914,0.904675753
G001975465,GCF_001975465.1,Chlorobium sp. KB01,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,2.570543,2508,99.45,0,nif,NA,NA,35.8,Mesophile,6.6,Neutrophile,Freshwater,0.03,0.175257732,26,0.279569892,0.854848756
G001803945,GCA_001803945.1,Nitrospirae bacterium RIFOXYA2_FULL_44_9,Bacteria,Nitrospirae,0,0,0,0,1.933175,2038,94.55,0.91,nif,anaerobe,2,42.4,Mesophile,6.8,Neutrophile,Freshwater,0.01,0.180412371,24,0.258064516,0.756102845
G000315365,GCF_000315365.1,Desulfotomaculum hydrothermale Lam5 = DSM 18033,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,2.695031,2654,99.37,0.32,nif,anaerobe,2,55,Thermophile,7.1,Neutrophile,Hydrothermal,0,0.195876289,25,0.268817204,0.648976209
G000526495,GCF_000526495.1,[Clostridium] josui JCM 17888,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,4.46968,3897,100,0.34,nif,anaerobe,2,38.9,Mesophile,7.1,Neutrophile,Terrestrial,0.15,0.128865979,26,0.279569892,0.832360281
G000376385,GCF_000376385.1,Desulfurispora thermophila DSM 16022,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfurispora,2.821579,2738,99.37,0,nif,anaerobe,2,60,Thermophile,7.2,Neutrophile,Freshwater,0,0.195876289,23,0.247311828,0.6526567
G000308215,GCF_000308215.1,Methanomassiliicoccus luminyensis B10,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,2.620233,2607,98.39,0,anf,anaerobe,2,37,Mesophile,7.6,Neutrophile,Host-associated,0.06,0.175257732,27,0.290322581,0.85675894
G001714685,GCA_001714685.2,Methanosarcina sp. Ant1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.291352,3750,99.84,3.27,nif,anaerobe,2,37.1,Mesophile,6.7,Neutrophile,Terrestrial,0.15,0.180412371,25,0.268817204,0.820428366
G001687335,GCF_001687335.1,Dissulfuribacter thermophilus,Bacteria,Deltaproteobacteria,Deltaproteobacteria,0,0,Dissulfuribacter,2.524199,2303,98.19,1.19,nif,anaerobe,2,61,Thermophile,6.8,Neutrophile,Hydrothermal,0.01,0.180412371,26,0.279569892,0.724838817
G000174435,GCF_000174435.1,Desulfonatronospira thiodismutans ASO3-1,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonatronospira,4.107394,3812,100,0.33,nif,anaerobe,2,42.3,Mesophile,6.9,Neutrophile,Saline,0.01,0.175257732,24,0.258064516,0.885798202
G000145275,GCF_000145275.1,Clostridium cellulovorans 743B,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,5.262222,4380,98.83,1.61,nif,anaerobe,2,37,Mesophile,7,Neutrophile,Host-associated,0.09,0.195876289,28,0.301075269,0.80876793
G000762265,GCF_000762265.1,Methanobacterium formicicum,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,2.449987,2403,100,0,nif,anaerobe,2,39,Mesophile,7.2,Neutrophile,Host-associated,0.12,0.170103093,23,0.247311828,0.878606869
G000953115,GCF_000953115.1,Methanobacterium formicicum,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,2.478074,2410,99.2,0,nif,anaerobe,2,39,Mesophile,7.2,Neutrophile,Host-associated,0.12,0.175257732,23,0.247311828,0.892298525
G000092405,GCF_000092405.1,Syntrophothermus lipocalidus DSM 12680,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophothermus,2.405559,2400,98.81,0.51,nif,anaerobe,2,53.2,Thermophile,5.4,Acidophile,Terrestrial,0.04,0.164948454,25,0.268817204,0.605071185
G001729285,GCF_001729285.1,Methanobacterium sp. A39,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,3.329516,3247,98.93,0.8,nif,anaerobe,2,40,Mesophile,6,Neutrophile,Terrestrial,0.11,0.18556701,24,0.258064516,0.85610398
G000341715,GCA_000341715.1,Methanosarcina mazei Tuc01,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,3.427949,3159,97.06,0.65,nif,anaerobe,2,43.4,Mesophile,6,Neutrophile,Terrestrial,0.13,0.175257732,26,0.279569892,0.833056503
G000092205,GCF_000092205.1,Desulfurivibrio alkaliphilus AHT 2,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfurivibrio,3.097763,2698,99.4,0,nif,anaerobe,2,39.1,Mesophile,6.3,Neutrophile,Saline,0.01,0.201030928,26,0.279569892,0.821904101
G000302455,GCF_000302455.1,Methanobacterium formicicum DSM 3637,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,2.684267,2536,98.93,0,nif,anaerobe,2,33,Mesophile,6.4,Neutrophile,Host-associated,0.11,0.170103093,24,0.258064516,0.911344392
G001466305,GCF_001466305.1,Defluviitalea phaphyphila,Bacteria,Firmicutes,Clostridia,Clostridiales,Defluviitaleaceae,Defluviitalea,2.539811,2448,97.99,1.57,nif,anaerobe,2,60,Thermophile,6.7,Neutrophile,Saline,0.03,0.144329897,29,0.311827957,0.723018149
G000284315,GCF_000284315.1,Leptospirillum ferrooxidans C2-3,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,2.559538,2451,94.49,1.82,nif,NA,NA,32.9,Mesophile,6.8,Neutrophile,Hydrothermal,0.01,0.170103093,25,0.268817204,0.791186233
G001611555,GCF_001611555.1,Anaerosporomusa subterranea,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaerosporomusa,3.968191,3763,99.91,2.34,nif,anaerobe,2,28,Mesophile,6.8,Neutrophile,Terrestrial,0.05,0.242268041,26,0.279569892,0.675554061
G001829155,GCA_001829155.1,Spirochaetes bacterium GWB1_36_13,Bacteria,Spirochaetes,0,0,0,0,3.041875,2903,90.38,0,nif,anaerobe,2,46.8,Thermophile,6.9,Neutrophile,Terrestrial,NA,0.154639175,29,0.311827957,0.832425036
G001805105,GCA_001805105.1,Nitrospirae bacterium GWF2_44_13,Bacteria,Nitrospirae,0,0,0,0,1.986041,2041,95.45,0.91,nif,anaerobe,2,42.4,Mesophile,7.1,Neutrophile,Freshwater,0.04,0.18556701,26,0.279569892,0.750196473
G000195295,GCF_000195295.1,Desulfobacca acetoxidans DSM 11109,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfobacca,3.282536,2966,98.06,0.65,nif,anaerobe,2,43.7,Mesophile,7.9,Neutrophile,Saline,0.04,0.18556701,25,0.268817204,0.745673308
G000970165,GCF_000970165.1,Methanosarcina mazei WWM610,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.096482,3486,100,0.65,nif,anaerobe,2,43.2,Mesophile,5.9,Neutrophile,Terrestrial,0.13,0.180412371,27,0.290322581,0.829289191
G000970245,GCF_000970245.1,Methanosarcina mazei C16,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.166241,3568,100,0.65,nif,anaerobe,2,42.2,Mesophile,5.9,Neutrophile,Saline,0.13,0.18556701,27,0.290322581,0.835241609
G000021965,GCF_000021965.1,Methanosphaerula palustris E1-9c,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,2.922917,2779,99.84,0,nif,anaerobe,2,29.6,Mesophile,5.9,Neutrophile,Terrestrial,0.13,0.180412371,26,0.279569892,0.84691051
G001803605,GCA_001803605.1,Nitrospirae bacterium GWA2_46_11,Bacteria,Nitrospirae,0,0,0,0,2.292831,2436,92.27,0.91,nif,anaerobe,2,42.3,Mesophile,6.2,Neutrophile,Terrestrial,NA,0.18556701,27,0.290322581,0.743495877
G000191585,GCF_000191585.1,Methanobacterium lacus,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,2.583753,2522,99.2,0,anf,anaerobe,2,30,Mesophile,6.5,Neutrophile,Freshwater,0.11,0.175257732,25,0.268817204,0.918327721
G000970205,GCF_000970205.1,Methanosarcina mazei S-6,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.142816,3558,100,0.65,nif,anaerobe,2,43.7,Mesophile,6.5,Neutrophile,Terrestrial,0.13,0.180412371,27,0.290322581,0.838429459
G000275865,GCF_000275865.1,Methanofollis liminatans DSM 4140,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis,2.4751,2441,99.54,0.65,nif,anaerobe,2,40.6,Mesophile,6.6,Neutrophile,Terrestrial,0.08,0.175257732,26,0.279569892,0.830487073
G000214725,GCF_000214725.1,Methanobacterium paludis,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,2.546541,2451,99.73,0.8,nif,anaerobe,2,39.8,Mesophile,6.8,Neutrophile,Terrestrial,0.12,0.180412371,25,0.268817204,0.888984789
G000979105,GCF_000979105.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.049464,3482,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.827330642
G000979515,GCF_000979515.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.076107,3557,100,1.31,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.831821752
